# Time; Light sensor; Coil current; Pressure sensor; LFS power; HFS power in SI units
7.519999999999999558e-04;5.081393718719482422e+00;1.012005249023437500e+03;1.009608349986980402e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.619999999999999820e-04;5.079095840454101562e+00;1.010472106933593750e+03;9.834955976241257364e-03;2.000006103515625000e+02;0.000000000000000000e+00
7.720000000000000083e-04;5.067277908325195312e+00;1.009157836914062500e+03;9.128143556940550990e-03;2.000006103515625000e+02;0.000000000000000000e+00
7.819999999999999261e-04;5.064980030059814453e+00;1.007405700683593750e+03;9.924570724655187165e-03;2.000006103515625000e+02;0.000000000000000000e+00
7.919999999999999523e-04;5.079423904418945312e+00;1.006091552734375000e+03;9.864746914610096618e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.019999999999999785e-04;5.081065654754638672e+00;1.004558288574218750e+03;9.884638362206894097e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.120000000000000048e-04;5.081393718719482422e+00;1.003025146484375000e+03;9.314006914129549508e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.219999999999999226e-04;5.070232391357421875e+00;1.001382385253906250e+03;9.746150411756413987e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.319999999999999488e-04;5.082050323486328125e+00;9.998492431640625000e+02;1.004533834371926053e-02;2.000006103515625000e+02;0.000000000000000000e+00
8.419999999999999750e-04;5.080080509185791016e+00;9.985349731445312500e+02;9.648423998257379258e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.520000000000000013e-04;5.074500083923339844e+00;9.972208862304687500e+02;9.192767986658930898e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.619999999999999191e-04;5.077126026153564453e+00;9.954686889648437500e+02;9.484516085212724157e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.719999999999999453e-04;5.078439235687255859e+00;9.939353637695312500e+02;9.795384186427655293e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.819999999999999715e-04;5.068591117858886719e+00;9.925118408203125000e+02;9.248530184368504437e-03;2.000006103515625000e+02;0.000000000000000000e+00
8.919999999999999978e-04;5.074500083923339844e+00;9.908690795898437500e+02;9.100577116110345616e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.019999999999999156e-04;5.069247245788574219e+00;9.895548095703125000e+02;9.267192648454087786e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.119999999999999418e-04;5.078111171722412109e+00;9.880216674804687500e+02;9.658146724606082867e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.219999999999999680e-04;5.079095840454101562e+00;9.864885253906250000e+02;9.398874847280616965e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.319999999999999942e-04;5.082706928253173828e+00;9.852838745117187500e+02;8.847357642072893255e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.419999999999999121e-04;5.079095840454101562e+00;9.834221191406250000e+02;9.109761112789259777e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.519999999999999383e-04;5.074828147888183594e+00;9.819984130859375000e+02;9.239206287786953797e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.619999999999999645e-04;5.078439235687255859e+00;9.805747070312500000e+02;9.045720214809560913e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.719999999999999907e-04;5.081065654754638672e+00;9.792606201171875000e+02;8.370273805444560997e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.820000000000000170e-04;5.075484752655029297e+00;9.777274780273437500e+02;8.874144067797427871e-03;2.000006103515625000e+02;0.000000000000000000e+00
9.920000000000000432e-04;5.081065654754638672e+00;9.761941528320312500e+02;8.767469680042173572e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.001999999999999853e-03;5.075156688690185547e+00;7.922107543945312500e+02;8.973074194248724031e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.011999999999999879e-03;1.799259662628173828e+00;6.050515136718750000e+02;8.506341479839852476e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.021999999999999905e-03;1.785471916198730469e+00;4.573173522949218750e+02;8.991180820009700425e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.031999999999999931e-03;1.780875682830810547e+00;3.472557678222656250e+02;8.618527463344655137e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.041999999999999958e-03;1.777593135833740234e+00;2.628206787109375000e+02;8.909994194463522615e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.051999999999999984e-03;1.778249740600585938e+00;1.990835266113281250e+02;8.644621078533641298e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.062000000000000010e-03;1.775951862335205078e+00;1.507878875732421875e+02;8.856273133066916436e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.072000000000000036e-03;1.776279926300048828e+00;1.137722625732421875e+02;8.670806388808004542e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.081999999999999846e-03;1.774310111999511719e+00;8.475100708007812500e+01;8.688303073102521951e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.091999999999999872e-03;1.774638652801513672e+00;6.273866271972656250e+01;8.592512611209282905e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.101999999999999898e-03;1.771684169769287109e+00;4.598303985595703125e+01;9.474968150492342825e-03;0.000000000000000000e+00;0.000000000000000000e+00
